,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Density_target,MeltingPoint_target,Symbol_target,full_community_id_target,name_target
275,IS_COMPOSED_OF,731,C84400,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
276,IS_COMPOSED_OF,731,C84400,112.8,943,16,112.8,32.605,SULFUR ,S
277,IS_COMPOSED_OF,731,C84400,1414,333,14,1414,28.0855,SILICON,Si
278,IS_COMPOSED_OF,732,C84410,231.9,326,50,231.9,118.71,TIN,Sn
279,IS_COMPOSED_OF,732,C84410,327.5,329,82,327.5,207.2,LEAD,Pb
280,IS_COMPOSED_OF,732,C84410,419.5,328,30,419.5,65.38,ZINC,Zn
281,IS_COMPOSED_OF,732,C84410,271.4,332,83,271.4,208.9804,BISMUTH,Bi
282,IS_COMPOSED_OF,732,C84410,419.5,328,30,419.5,65.38,ZINC,Zn
283,IS_COMPOSED_OF,732,C84410,1085,319,29,1085,63.546,COPPER,Cu
284,IS_COMPOSED_OF,732,C84410,231.9,326,50,231.9,118.71,TIN,Sn
285,IS_COMPOSED_OF,732,C84410,1455,327,28,1455,58.6934,NICKEL,Ni
286,IS_COMPOSED_OF,732,C84410,1414,333,14,1414,28.0855,SILICON,Si
287,IS_COMPOSED_OF,732,C84410,660.3,322,13,660.3,26.981539,ALUMINUM,Al
288,IS_COMPOSED_OF,732,C84410,327.5,329,82,327.5,207.2,LEAD,Pb
289,IS_COMPOSED_OF,733,C84500,327.5,329,82,327.5,207.2,LEAD,Pb
290,IS_COMPOSED_OF,733,C84500,1085,319,29,1085,63.546,COPPER,Cu
291,IS_COMPOSED_OF,733,C84500,419.5,328,30,419.5,65.38,ZINC,Zn
292,IS_COMPOSED_OF,733,C84500,231.9,326,50,231.9,118.71,TIN,Sn
293,IS_COMPOSED_OF,733,C84500,231.9,326,50,231.9,118.71,TIN,Sn
294,IS_COMPOSED_OF,733,C84500,660.3,322,13,660.3,26.981539,ALUMINUM,Al
295,IS_COMPOSED_OF,733,C84500,327.5,329,82,327.5,207.2,LEAD,Pb
296,IS_COMPOSED_OF,733,C84500,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
