,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
70,IS_COMPOSED_OF,bullets,,Clean muffled. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lamb,Brass,Rifle shells,,,,,,,,,,BRASS,BRASS
71,IS_PROCESSED_WITH,iron,,Clean,iron,Yellow Brass Primer,Nonferrous Scrap - Red Metals,Lark,Yellow Brass,Primers,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
72,IS_COMPOSED_OF,iron,,Clean,iron,Yellow Brass Primer,Nonferrous Scrap - Red Metals,Lark,Yellow Brass,Primers,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
73,IS_PROCESSED_WITH,chrome or any other plating material,,One or more nickel silver alloys the range of nickel content to be specified. Leaded nickel silver clippings should be packed and sold separately. Not to contain more than 10% of clean punchings under 1/4 inch,chrome or any other plating material,Mixed New Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Maize,Nickel Silver,Clippings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
74,IS_COMPOSED_OF,chrome or any other plating material,,One or more nickel silver alloys the range of nickel content to be specified. Leaded nickel silver clippings should be packed and sold separately. Not to contain more than 10% of clean punchings under 1/4 inch,chrome or any other plating material,Mixed New Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Maize,Nickel Silver,Clippings,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
75,IS_PROCESSED_WITH,Chrome or any other plating material,,New,Chrome or any other plating material,New Nickel Silver Clippings and Solids,Nonferrous Scrap - Red Metals,Major,Nickel Silver,Clippings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
76,IS_COMPOSED_OF,Chrome or any other plating material,,New,Chrome or any other plating material,New Nickel Silver Clippings and Solids,Nonferrous Scrap - Red Metals,Major,Nickel Silver,Clippings,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
77,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Shall consist of one specified nickel silver alloy. Not to contain more than 10% of clean punchings under 1/4 inch.,,New Segregated Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Malar,Nickel Silver,Clippings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
78,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Shall consist of one specified nickel silver alloy. Not to contain more than 10% of clean punchings under 1/4 inch.,,New Segregated Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Malar,Nickel Silver,Clippings,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
79,IS_PROCESSED_WITH,Foreign substances,,Old. Soldered or unsoldered. Must not be trimmed seams alone.,Foreign substances,Old Nickel Silver,Nonferrous Scrap - Red Metals,Malic,Nickel Silver,Sheet,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
