,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Density_trg,MeltingPoint_trg,Symbol_trg,full_community_id_trg,name_trg
196,IS_COMPOSED_OF,727,C84020,58.6934,28,8.902,1455,Ni,327,NICKEL
197,IS_COMPOSED_OF,727,C84020,65.38,30,7.13,419.5,Zn,328,ZINC
198,IS_COMPOSED_OF,727,C84020,118.71,50,5.75,231.9,Sn,326,TIN
199,IS_COMPOSED_OF,727,C84020,63.546,29,8.96,1085,Cu,319,COPPER
200,IS_COMPOSED_OF,727,C84020,65.38,30,7.13,419.5,Zn,328,ZINC
201,IS_COMPOSED_OF,727,C84020,121.76,51,6.631,630.5,Sb,331,ANTIMONY
202,IS_COMPOSED_OF,727,C84020,58.6934,28,8.902,1455,Ni,327,NICKEL
203,IS_COMPOSED_OF,727,C84020,118.71,50,5.75,231.9,Sn,326,TIN
204,IS_COMPOSED_OF,727,C84020,12.0107,6,*,3550,C,947,CARBON 
205,IS_COMPOSED_OF,727,C84020,55.845,26,7.874,1538,Fe,321,IRON
206,IS_COMPOSED_OF,727,C84020,207.2,82,11.29,327.5,Pb,329,LEAD
207,IS_COMPOSED_OF,727,C84020,54.938044,25,7.26,1246,Mn,330,MANGANESE
208,IS_COMPOSED_OF,727,C84020,91.224,40,6.49,1855,Zr,436,ZIRCONIUM 
209,IS_COMPOSED_OF,727,C84020,32.605,16,*,112.8,S,943,SULFUR 
210,IS_COMPOSED_OF,727,C84020,30.973762,15,*,44.1,P,942,PHOSPHORUS 
211,IS_COMPOSED_OF,727,C84020,10.811,5,*,2076,B,946,BORON
212,IS_COMPOSED_OF,727,C84020,63.546,29,8.96,1085,Cu,319,COPPER
213,IS_COMPOSED_OF,727,C84020,47.867,22,4.5,1668,Ti,320,TITANIUM
214,IS_COMPOSED_OF,728,C84030,65.38,30,7.13,419.5,Zn,328,ZINC
215,IS_COMPOSED_OF,728,C84030,63.546,29,8.96,1085,Cu,319,COPPER
216,IS_COMPOSED_OF,728,C84030,121.76,51,6.631,630.5,Sb,331,ANTIMONY
217,IS_COMPOSED_OF,728,C84030,118.71,50,5.75,231.9,Sn,326,TIN
218,IS_COMPOSED_OF,728,C84030,58.6934,28,8.902,1455,Ni,327,NICKEL
219,IS_COMPOSED_OF,728,C84030,12.0107,6,*,3550,C,947,CARBON 
220,IS_COMPOSED_OF,728,C84030,207.2,82,11.29,327.5,Pb,329,LEAD
221,IS_COMPOSED_OF,728,C84030,10.811,5,*,2076,B,946,BORON
222,IS_COMPOSED_OF,728,C84030,32.605,16,*,112.8,S,943,SULFUR 
223,IS_COMPOSED_OF,728,C84030,91.224,40,6.49,1855,Zr,436,ZIRCONIUM 
224,IS_COMPOSED_OF,728,C84030,54.938044,25,7.26,1246,Mn,330,MANGANESE
225,IS_COMPOSED_OF,728,C84030,30.973762,15,*,44.1,P,942,PHOSPHORUS 
226,IS_COMPOSED_OF,728,C84030,58.6934,28,8.902,1455,Ni,327,NICKEL
227,IS_COMPOSED_OF,728,C84030,118.71,50,5.75,231.9,Sn,326,TIN
228,IS_COMPOSED_OF,728,C84030,47.867,22,4.5,1668,Ti,320,TITANIUM
229,IS_COMPOSED_OF,728,C84030,55.845,26,7.874,1538,Fe,321,IRON
230,IS_COMPOSED_OF,728,C84030,121.76,51,6.631,630.5,Sb,331,ANTIMONY
231,IS_COMPOSED_OF,728,C84030,65.38,30,7.13,419.5,Zn,328,ZINC
232,IS_COMPOSED_OF,728,C84030,63.546,29,8.96,1085,Cu,319,COPPER
233,IS_COMPOSED_OF,729,C84100,118.71,50,5.75,231.9,Sn,326,TIN
234,IS_COMPOSED_OF,729,C84100,65.38,30,7.13,419.5,Zn,328,ZINC
235,IS_COMPOSED_OF,729,C84100,63.546,29,8.96,1085,Cu,319,COPPER
236,IS_COMPOSED_OF,729,C84100,207.2,82,11.29,327.5,Pb,329,LEAD
237,IS_COMPOSED_OF,729,C84100,55.845,26,7.874,1538,Fe,321,IRON
238,IS_COMPOSED_OF,729,C84100,58.6934,28,8.902,1455,Ni,327,NICKEL
239,IS_COMPOSED_OF,729,C84100,65.38,30,7.13,419.5,Zn,328,ZINC
240,IS_COMPOSED_OF,729,C84100,26.981539,13,2.7,660.3,Al,322,ALUMINUM
241,IS_COMPOSED_OF,729,C84100,121.76,51,6.631,630.5,Sb,331,ANTIMONY
242,IS_COMPOSED_OF,729,C84100,63.546,29,8.96,1085,Cu,319,COPPER
243,IS_COMPOSED_OF,729,C84100,207.2,82,11.29,327.5,Pb,329,LEAD
244,IS_COMPOSED_OF,729,C84100,118.71,50,5.75,231.9,Sn,326,TIN
245,IS_COMPOSED_OF,729,C84100,208.9804,83,10.022,271.4,Bi,332,BISMUTH
246,IS_COMPOSED_OF,729,C84100,30.973762,15,*,44.1,P,942,PHOSPHORUS 
247,IS_COMPOSED_OF,729,C84100,28.0855,14,2.33,1414,Si,333,SILICON
248,IS_COMPOSED_OF,730,C84200,118.71,50,5.75,231.9,Sn,326,TIN
249,IS_COMPOSED_OF,730,C84200,63.546,29,8.96,1085,Cu,319,COPPER
250,IS_COMPOSED_OF,730,C84200,65.38,30,7.13,419.5,Zn,328,ZINC
251,IS_COMPOSED_OF,730,C84200,207.2,82,11.29,327.5,Pb,329,LEAD
252,IS_COMPOSED_OF,730,C84200,30.973762,15,*,44.1,P,942,PHOSPHORUS 
253,IS_COMPOSED_OF,730,C84200,207.2,82,11.29,327.5,Pb,329,LEAD
254,IS_COMPOSED_OF,730,C84200,65.38,30,7.13,419.5,Zn,328,ZINC
255,IS_COMPOSED_OF,730,C84200,121.76,51,6.631,630.5,Sb,331,ANTIMONY
